|| '''Cipher''' || '''Implementation'''|| '''Checksumming Cycles''' || ''' Benchmark Cycles (1536 byte)'''|| '''Result''' || '''Compiler''' || 
|| bmw256 || optc03 || 27828619 || 1592809 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| bmw256 || optc03 || 27828619 || 1592809 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| bmw256 || optc03 || 27858545 || 1593733 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| bmw256 || optc04 || 74726776 || 1817161 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| bmw256 || optc04 || 28378224 || 1577692 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| bmw256 || optc04 || 27879227 || 1598059 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| bmw256 || optc04 || 27879229 || 1598059 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| bmw256 || optc04 || 27943133 || 1602508 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| bmw256 || ref || 38290268 || 2301319 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| bmw256 || ref || 37014156 || 2265187 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| bmw256 || ref || 37525839 || 2303456 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
