| '''Cipher''' || '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:ciphers_jh512 <-] jh512 [wiki:platformsciphers_artila_m501_jh512 ->] || [wiki:platformsimplementations_artila_m501_jh512_bitslice_ref32 bitslice_ref32] || 607230 || 4284 || 420 || arm-linux-gcc -Os -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || [wiki:runs_18 Run 18]
|[wiki:ciphers_mcssha4 <-] mcssha4 [wiki:platformsciphers_artila_m501_mcssha4 ->] || [wiki:platformsimplementations_artila_m501_mcssha4_ref ref] || 222154 || 4620 || 872 || arm-linux-gcc -Os -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || [wiki:runs_18 Run 18]
|[wiki:ciphers_bmw512 <-] bmw512 [wiki:platformsciphers_artila_m501_bmw512 ->] || [wiki:platformsimplementations_artila_m501_bmw512_armcryptolib armcryptolib] || 673526 || 5020 || 1044 || arm-linux-gcc -O2 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || [wiki:runs_18 Run 18]
|[wiki:ciphers_blake64 <-] blake64 [wiki:platformsciphers_artila_m501_blake64 ->] || [wiki:platformsimplementations_artila_m501_blake64_armcryptolib armcryptolib] || 601470 || 5092 || 488 || arm-linux-gcc -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || [wiki:runs_18 Run 18]
|[wiki:ciphers_mcssha5 <-] mcssha5 [wiki:platformsciphers_artila_m501_mcssha5 ->] || [wiki:platformsimplementations_artila_m501_mcssha5_ref ref] || 223830 || 5420 || 872 || arm-linux-gcc -Os -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || [wiki:runs_18 Run 18]
|[wiki:ciphers_mcssha6 <-] mcssha6 [wiki:platformsciphers_artila_m501_mcssha6 ->] || [wiki:platformsimplementations_artila_m501_mcssha6_ref ref] || 217890 || 5532 || 764 || arm-linux-gcc -Os -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || [wiki:runs_18 Run 18]
|[wiki:ciphers_simd512 <-] simd512 [wiki:platformsciphers_artila_m501_simd512 ->] || [wiki:platformsimplementations_artila_m501_simd512_ref ref] || 17660351 || 9714 || 3496 || arm-linux-gcc -Os -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || [wiki:runs_8 Run 8]
|[wiki:ciphers_luffa256 <-] luffa256 [wiki:platformsciphers_artila_m501_luffa256 ->] || [wiki:platformsimplementations_artila_m501_luffa256_opt32 opt32] || 172946 || 10852 || 696 || arm-linux-gcc -O1 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || [wiki:runs_18 Run 18]
|[wiki:ciphers_luffa384 <-] luffa384 [wiki:platformsciphers_artila_m501_luffa384 ->] || [wiki:platformsimplementations_artila_m501_luffa384_opt32 opt32] || 297855 || 10852 || 808 || arm-linux-gcc -O1 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || [wiki:runs_18 Run 18]
|[wiki:ciphers_luffa512 <-] luffa512 [wiki:platformsciphers_artila_m501_luffa512 ->] || [wiki:platformsimplementations_artila_m501_luffa512_opt32 opt32] || 445174 || 10852 || 856 || arm-linux-gcc -O1 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || [wiki:runs_18 Run 18]
