| '''Cipher''' || '''Implementation''' || '''Empty Message''' || '''8 byte''' || '''64 bytes''' || '''512 bytes''' || '''1024 bytes''' || '''2048 bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:ciphers_jh512 jh512] || [wiki:platformsimplementations_atmega1281_16mhz_jh512_sphlib-small sphlib-small] || 179409 || 43566 || 5474 || 2992 || 2814 || 2726 || 2637 || [wiki:measureDetailsPage_3_jh512_sphlib-small Details]
|[wiki:ciphers_keccak256 keccak256] || [wiki:platformsimplementations_atmega1281_16mhz_keccak256_sphlib-small sphlib-small] || 601939 || 75236 || 9399 || 4610 || 4591 || 4582 || 4572 || [wiki:measureDetailsPage_3_keccak256_sphlib-small Details]
|[wiki:ciphers_keccak512 keccak512] || [wiki:platformsimplementations_atmega1281_16mhz_keccak512_sphlib-small sphlib-small] || 598244 || 74775 || 9341 || 9124 || 8537 || 8243 || 7949 || [wiki:measureDetailsPage_3_keccak512_sphlib-small Details]
|[wiki:ciphers_luffa256 luffa256] || [wiki:platformsimplementations_atmega1281_16mhz_luffa256_sphlib sphlib] || 176479 || 22062 || 5501 || 3069 || 2896 || 2809 || 2722 || [wiki:measureDetailsPage_3_luffa256_sphlib Details]
|[wiki:ciphers_luffa512 luffa512] || [wiki:platformsimplementations_atmega1281_16mhz_luffa512_sphlib sphlib] || 454900 || 56865 || 11835 || 5581 || 5135 || 4911 || 4688 || [wiki:measureDetailsPage_3_luffa512_sphlib Details]
|[wiki:ciphers_mcssha4 mcssha4] || [wiki:platformsimplementations_atmega1281_16mhz_mcssha4_ref ref] || 33772 || 4772 || 1077 || 615 || 582 || 565 || 549 || [wiki:measureDetailsPage_3_mcssha4_ref Details]
|[wiki:ciphers_mcssha5 mcssha5] || [wiki:platformsimplementations_atmega1281_16mhz_mcssha5_ref ref] || 71869 || 9534 || 1672 || 689 || 619 || 584 || 549 || [wiki:measureDetailsPage_3_mcssha5_ref Details]
|[wiki:ciphers_mcssha6 mcssha6] || [wiki:platformsimplementations_atmega1281_16mhz_mcssha6_ref ref] || 82147 || 10819 || 1832 || 709 || 629 || 589 || 549 || [wiki:measureDetailsPage_3_mcssha6_ref Details]
|[wiki:ciphers_nasha256 nasha256] || [wiki:platformsimplementations_atmega1281_16mhz_nasha256_opt opt] || 51597 || 6454 || 1337 || 624 || 573 || 548 || 522 || [wiki:measureDetailsPage_3_nasha256_opt Details]
|[wiki:ciphers_nasha512 nasha512] || [wiki:platformsimplementations_atmega1281_16mhz_nasha512_opt opt] || 99045 || 12385 || 1552 || 706 || 609 || 560 || 512 || [wiki:measureDetailsPage_3_nasha512_opt Details]
|[wiki:ciphers_shabal256 shabal256] || [wiki:platformsimplementations_atmega1281_16mhz_shabal256_avrcryptolib_asm avrcryptolib_asm] || 52326 || 6542 || 1027 || 312 || 261 || 235 || 210 || [wiki:measureDetailsPage_3_shabal256_avrcryptolib_asm Details]
|[wiki:ciphers_shabal512 shabal512] || [wiki:platformsimplementations_atmega1281_16mhz_shabal512_avrcryptolib_asm avrcryptolib_asm] || 52548 || 6570 || 1031 || 313 || 261 || 236 || 210 || [wiki:measureDetailsPage_3_shabal512_avrcryptolib_asm Details]
|[wiki:ciphers_simd256 simd256] || [wiki:platformsimplementations_atmega1281_16mhz_simd256_sphlib sphlib] || 152313 || 37855 || 4733 || 2650 || 2501 || 2427 || 2353 || [wiki:measureDetailsPage_3_simd256_sphlib Details]
|[wiki:ciphers_skein256 skein256] || [wiki:platformsimplementations_atmega1281_16mhz_skein256_avrcryptolib_asm avrcryptolib_asm] || 117924 || 14754 || 2451 || 1360 || 1282 || 1243 || 1204 || [wiki:measureDetailsPage_3_skein256_avrcryptolib_asm Details]
|[wiki:ciphers_skein512 skein512] || [wiki:platformsimplementations_atmega1281_16mhz_skein512_avrcryptolib_asm avrcryptolib_asm] || 279951 || 35007 || 4387 || 1811 || 1627 || 1535 || 1443 || [wiki:measureDetailsPage_3_skein512_avrcryptolib_asm Details]
