| '''Hash''' || '''Implementation''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' 
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc01 optc01] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 18002046 || 224110 || 160901 (203131) || 44 (988) || 0 (2840) || 4872(4920) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc01 optc01] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 13160470 || 180863 || 111261 (144354) || 40 (980) || 0 (2840) || 5672(5728) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc01 optc01] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 16097081 || 209575 || 123677 (155154) || 40 (980) || 0 (2840) || 7112(7168) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc01 optc01] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 16606265 || 210145 || 123338 (154871) || 40 (980) || 0 (2836) || 7136(7192) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc01 optc01] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 16421666 || 211337 || 127565 (158747) || 40 (980) || 0 (2840) || 7128(7184) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc02 optc02] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 17064596 || 241137 || 37009 (79239) || 24 (968) || 0 (2840) || 760(808) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc02 optc02] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 10315841 || 156350 || 27585 (60678) || 20 (960) || 0 (2840) || 1160(1216) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc02 optc02] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 11541969 || 161809 || 28257 (59734) || 20 (960) || 0 (2840) || 1752(1808) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc02 optc02] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 11596175 || 161213 || 28134 (59667) || 20 (960) || 0 (2836) || 1736(1792) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc02 optc02] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 8178072 || 147261 || 22985 (54167) || 20 (960) || 0 (2840) || 1496(1552) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc03 optc03] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 14656647 || 505342 || 24426 (66656) || 12 (956) || 0 (2840) || 896(944) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc03 optc03] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 7215513 || 132142 || 18042 (51135) || 8 (948) || 0 (2840) || 1272(1328) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc03 optc03] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 8044565 || 139099 || 18794 (50271) || 8 (948) || 0 (2840) || 1800(1856) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc03 optc03] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 8301271 || 139311 || 18794 (50327) || 8 (948) || 0 (2836) || 1800(1856) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc03 optc03] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 3960597 || 129015 || 15410 (46592) || 8 (948) || 0 (2840) || 1464(1520) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc04 optc04] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 15393082 || 223210 || 26282 (68512) || 12 (956) || 0 (2840) || 904(952) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc04 optc04] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 7276675 || 133441 || 18202 (51295) || 8 (948) || 0 (2840) || 1304(1360) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc04 optc04] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 7825225 || 138025 || 18698 (50175) || 8 (948) || 0 (2840) || 1752(1808) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc04 optc04] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 8246363 || 138105 || 18698 (50231) || 8 (948) || 0 (2836) || 1752(1808) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optc04 optc04] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 3787314 || 127068 || 15266 (46448) || 8 (948) || 0 (2840) || 1384(1440) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_ref ref] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 12653737 || 443332 || 47024 (89254) || 60 (1004) || 0 (2840) || 1264(1312) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_ref ref] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 2186369 || 136714 || 24616 (57709) || 56 (996) || 0 (2840) || 1200(1256) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_ref ref] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 2450190 || 142676 || 27368 (58845) || 56 (996) || 0 (2840) || 1600(1656) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_ref ref] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 2292237 || 137840 || 27557 (59090) || 56 (996) || 0 (2836) || 1536(1592) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_ref ref] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 2415276 || 141311 || 25896 (57078) || 56 (996) || 0 (2840) || 1592(1648) || Checksum OK
